nama,BARANG,KONSULTASI,KONSTRUKSI,JASA LAINNYA,APBD,APBN,BLUD,LAINNYA,HARGA SATUAN,LUMSUM,GABUNGAN LUMSUM DAN HARGA SATUAN,WAKTU PENUGASAN,pagu
POKJA PEMILIHAN 212,1,0,0,0,0,0,1,0,1,0,0,0," 800,000,000.00 "
POKJA PEMILIHAN 212,0,0,0,1,1,0,0,0,0,0,0,1," 1,089,290,000.00 "
POKJA PEMILIHAN 212,0,1,0,0,0,1,0,0,1,0,0,0," 300,000,000.00 "
POKJA PEMILIHAN 212,0,1,0,0,0,0,1,0,0,0,1,0," 1,500,000,000.00 "
POKJA PEMILIHAN 212,0,0,1,0,0,1,0,0,0,0,0,1," 464,900,000.00 "
POKJA PEMILIHAN 212,0,0,0,1,1,0,0,0,0,0,1,0," 1,490,000,000.00 "
POKJA PEMILIHAN 212,0,0,1,0,0,1,0,0,0,0,1,0," 1,000,000,000.00 "
POKJA PEMILIHAN 212,1,0,0,0,0,0,1,0,0,1,0,0," 1,883,199,018.00 "
POKJA PEMILIHAN 212,1,0,0,0,1,0,0,0,0,1,0,0," 1,334,276,000.00 "
POKJA PEMILIHAN 212,0,0,1,0,0,1,0,0,0,0,1,0," 1,176,000,000.00 "
POKJA PEMILIHAN 214,0,1,0,0,0,0,1,0,0,0,1,0," 726,707,000.00 "
POKJA PEMILIHAN 214,1,0,0,0,0,0,1,0,1,0,0,0," 360,000,000.00 "
POKJA PEMILIHAN 214,0,0,0,1,0,0,0,1,0,0,1,0," 310,000,000.00 "
POKJA PEMILIHAN 214,0,0,1,0,1,0,0,0,1,0,0,0," 1,371,480,000.00 "
POKJA PEMILIHAN 214,0,0,0,1,0,1,0,0,0,0,0,1," 1,200,000,000.00 "
POKJA PEMILIHAN 214,1,0,0,0,0,0,1,0,0,1,0,0," 723,600,000.00 "
POKJA PEMILIHAN 214,0,1,0,0,1,0,0,0,0,0,1,0," 600,000,000.00 "
POKJA PEMILIHAN 214,0,0,1,0,0,0,0,1,0,0,0,1," 600,000,000.00 "
POKJA PEMILIHAN 214,1,0,0,0,1,0,0,0,0,1,0,0," 500,000,000.00 "
POKJA PEMILIHAN 214,1,0,0,0,0,1,0,0,0,0,0,1," 5,443,141,000.00 "
POKJA PEMILIHAN 215,0,0,1,0,1,0,0,0,1,0,0,0," 525,000,000.00 "
POKJA PEMILIHAN 215,1,0,0,0,1,0,0,0,0,1,0,0," 1,111,478,500.00 "
POKJA PEMILIHAN 215,0,0,0,1,0,0,1,0,0,0,1,0," 7,066,231,000.00 "
POKJA PEMILIHAN 215,0,0,1,0,1,0,0,0,1,0,0,0," 1,745,700,000.00 "
POKJA PEMILIHAN 215,0,0,0,1,0,0,1,0,0,1,0,0," 1,659,000,000.00 "
POKJA PEMILIHAN 215,0,0,1,0,0,1,0,0,0,0,1,0," 2,425,000,000.00 "
POKJA PEMILIHAN 215,1,0,0,0,0,0,0,1,0,1,0,0," 300,000,000.00 "
POKJA PEMILIHAN 215,0,0,1,0,1,0,0,0,1,0,0,0," 360,000,000.00 "
POKJA PEMILIHAN 215,0,0,0,1,1,0,0,0,1,0,0,0," 201,000,000.00 "
POKJA PEMILIHAN 215,0,1,0,0,0,1,0,0,0,0,1,0," 627,200,000.00 "
POKJA PEMILIHAN 216,1,0,0,0,1,0,0,0,0,1,0,0," 4,301,550,000.00 "
POKJA PEMILIHAN 216,1,0,0,0,0,0,0,1,0,0,0,1," 3,630,000,000.00 "
POKJA PEMILIHAN 216,0,0,0,1,1,0,0,0,0,1,0,0," 471,196,000.00 "
POKJA PEMILIHAN 216,0,0,1,0,0,1,0,0,1,0,0,0," 350,000,000.00 "
POKJA PEMILIHAN 216,0,0,1,0,0,1,0,0,1,0,0,0," 2,805,000,000.00 "
POKJA PEMILIHAN 216,0,1,0,0,1,0,0,0,0,0,1,0," 2,950,000,000.00 "
POKJA PEMILIHAN 216,0,0,1,0,0,1,0,0,1,0,0,0," 1,466,000,000.00 "
POKJA PEMILIHAN 216,0,0,1,0,1,0,0,0,1,0,0,0," 4,500,000,000.00 "
POKJA PEMILIHAN 216,1,0,0,0,1,0,0,0,0,1,0,0," 500,000,000.00 "
POKJA PEMILIHAN 216,0,0,0,1,0,0,0,1,0,1,0,0," 554,835,000.00 "
